df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
year,1.07,0.6354476383432,8.15,2.9328789501008004
month,0.907,0.6354476383432,4.77,2.9328789501008004
day,2.85,1.2567005731296,5.04,3.95149702414
gender,1.89,2.0485156762652004,15.8,8.48206788283
births,0.7020000000000001,0.6354476383432,3.95,2.9328789501008004
year,93.1,30.921538560800002,602.0,479.4348501008
month,39.4,30.921538560800002,545.0,479.4348501008
day,40.9,45.9664145824,584.0,462.47909222188804
gender,473.0,533.8814995238,2910.0,2198.1818725748803
births,34.9,30.921538560800002,532.0,479.4348501008
year,27.3,30.921538560800002,538.0,479.4348501008
month,34.5,30.921538560800002,555.0,479.4348501008
day,45.0,45.9664145824,569.0,462.47909222188804
gender,586.0,533.8814995238,2920.0,2198.1818725748803
births,37.6,30.921538560800002,562.0,479.4348501008
year,30.2,30.921538560800002,541.0,479.4348501008
month,37.3,30.921538560800002,547.0,479.4348501008
day,44.5,45.9664145824,574.0,462.47909222188804
births,37.3,30.921538560800002,536.0,479.4348501008
gender,572.0,533.8814995238,2870.0,2198.1818725748803
year,28.1,30.921538560800002,534.0,479.4348501008
month,34.9,30.921538560800002,553.0,479.4348501008
day,34.6,30.921538560800002,528.0,479.4348501008
gender,465.0,533.8814995238,2880.0,2198.1818725748803
births,34.7,30.921538560800002,561.0,479.4348501008
year,27.7,30.921538560800002,533.0,479.4348501008
decade,27.0,30.921538560800002,527.0,479.4348501008
decade,27.2,30.921538560800002,519.0,479.4348501008
births,34.8,30.921538560800002,532.0,479.4348501008
gender,459.0,533.8814995238,2750.0,2198.1818725748803
decade,27.6,30.921538560800002,530.0,479.4348501008
births,34.8,30.921538560800002,524.0,479.4348501008
gender,458.0,533.8814995238,2840.0,2198.1818725748803
year,28.0,30.921538560800002,519.0,479.4348501008
year,27.9,30.921538560800002,518.0,479.4348501008
month,34.6,30.921538560800002,523.0,479.4348501008
day,34.2,30.921538560800002,521.0,479.4348501008
gender,457.0,533.8814995238,2840.0,2198.1818725748803
births,36.2,30.921538560800002,573.0,479.4348501008
decade,34.7,30.921538560800002,523.0,479.4348501008
births,28.0,30.921538560800002,526.0,479.4348501008
year,26.2,29.094401303999998,493.0,450.687871504
month,32.5,29.094401303999998,514.0,450.687871504
day,32.4,29.094401303999998,498.0,450.687871504
gender,432.0,501.77208799400006,2630.0,2066.1095627898803
births,33.7,29.094401303999998,516.0,450.687871504
decade,32.6,29.094401303999998,485.0,450.687871504
year,25.8,29.094401303999998,492.0,450.687871504
month,32.4,29.094401303999998,500.0,450.687871504
day,32.5,29.094401303999998,493.0,450.687871504
gender,433.0,501.77208799400006,2640.0,2066.1095627898803
births,34.3,29.094401303999998,535.0,450.687871504
decade,32.3,29.094401303999998,497.0,450.687871504
year,25.9,29.094401303999998,491.0,450.687871504
year,32.9,29.094401303999998,283.0,450.687871504
decade,34.4,29.094401303999998,283.0,450.687871504
month,34.8,29.094401303999998,284.0,450.687871504
day,34.2,29.094401303999998,276.0,450.687871504
births,34.2,29.094401303999998,279.0,450.687871504
gender,489.0,501.77208799400006,2530.0,2066.1095627898803
year,34.1,29.094401303999998,279.0,450.687871504
decade,41.8,29.094401303999998,276.0,450.687871504
month,35.2,29.094401303999998,277.0,450.687871504
day,34.5,29.094401303999998,285.0,450.687871504
births,34.4,29.094401303999998,278.0,450.687871504
gender,439.0,501.77208799400006,2550.0,2066.1095627898803
dayofweek,46.2,21.972075978,192.0,282.60088219
dayofweek,577.0,548.3728432027999,2610.0,3039.24427650988
year,33.0,29.094401303999998,273.0,450.687871504
month,35.8,29.094401303999998,261.0,450.687871504
day,35.6,29.094401303999998,281.0,450.687871504
gender,443.0,501.77208799400006,2450.0,2066.1095627898803
births,37.0,29.094401303999998,281.0,450.687871504
decade,36.6,29.094401303999998,276.0,450.687871504
dayofweek,530.0,548.3728432027999,2590.0,3039.24427650988
births,33.1,29.094401303999998,281.0,450.687871504
births,15.7,1.2132903923936,33.5,3.504882346708
births,5.69,1.2132903923936,32.5,3.504882346708
births,2.44,1.2140071785344,5.6,3.510243128944
